Name,Nummer
"Meride, Fontana di Meride",8575647
"Serpiano, Ostello Alpino",8575767
"Basel, Wettsteinplatz",8589376
"Kriens, Bachstrasse",8589698
"Kriens, Klösterli",8589719
"Frenkendorf-Füllinsdorf, Bahnhof",8589401
"Büetigen, Dorf",8508873
"Bottmingen, Drosselstrasse",8589976
"Niederwangen, Bahnhof",8589227
"Hinwil, Alpenblick",8590649
"Geschinen, Baschi",8589087
"Renens VD, Bugnon",8592208
"St-Blaise, sentier de la Gare",8593615
"Neuchâtel, Saars 17",8593605
"Neuchâtel, Boine",8593584
"Goldiwil, Stägacher",8576553
"Stampa, Villaggio",8509885
"Luzein, Strilserrank",8509736
Saas-Fee (Hannig),8530807
"Bürchen, Station",8571065
St-Triphon-Village,8501459
"Duillier, centre communal",8501289
"Villmergen, Bullenberg",8582729
"Mülenen, Suldbrücke",8582734
Aeusseres Emdthal,8582736
"Näfels, Krumm",8582765
"Gstaad, Bissen Litzi",8571298
"Lauenen b. Gstaad, Geltenhorn",8571290
"Lausanne, Mirabeau",8592072
"Läufelfingen, Herrenmatt",8507335
Lattigen bei Spiez,8507299
Paradiso (funicolare),8505368
"Röthenbach i.E., Fambach",8576714
Rindertitlis,8531023
Arosa Bänkli,8531060
"Silenen, Dägerlohn",8505664
Poiana (lago),8505676
"Bürglen UR, Loreto",8505659
"Thun, Bahnhof",8507180
"Kölliken, Central",8507522
Signal (Munt da S. Murezzan),8531204
Plattja,8530203
"Stetten SH, Vorderdorf",8503970
"St. Antönien, Äbi",8504247
"Däniken, Talhubel",8583100
"Escholzmatt, Lehn",8583067
"Uzwil, Sonnenbergstrasse",8583056
"Niederuzwil, Friedeck",8583059
"Wachseldorn, Hof",8576592
"Belp, Aemmenmatt",8588904
"Dombresson, collège",8504255
"Servion, Moléson",8505530
"Rieden SG, Freigaden",8503994
"Courgenay, zone industrielle",8583350
"Lungern, Zihl",8583070
"Sion, Dames blanches",8582944
"Baden, Segelhof",8578683
Baar,8502206
"Kleinlützel, Chlösterli",8572152
"Bennau, Burgeren",8503727
"Chur, Post I",8571313
"Daro, Pian Lorenzo",8583022
"Bellinzona, Viale G. Motta",8583021
"Cornol, église",8583306
"Ravecchia, Von Mentlen",8583029
"Kleinlützel, Schlossfabrik",8572148
"Nunningen, Roderis",8572127
"Plan-les-Ouates, Manufactures",8595036
Adelboden Dorf (Silleren),8530308
"Grüningen, Station",8503183
Wil Nord,8518719
Stand (Bergst. Kabinenb.),8500647
"Bernex, Maison du Terroir",8595014
Vounetse,8530022
Staldifeld (Ausw),8509482
"Diemtigen, Schönbühl",8507722
"Bern, Chueweid",8582554
"Thierachern, Sandbühl",8576810
"Bözberg, Riemen",8572461
"Uster, Burgreben",8576788
"Genève, Délices",8592816
"Genève, Théâtre",8595022
"Orbe, rue Neuve",8595063
"Walchwil, Zämattli",8595334
"Algetshausen, Dorf",8595388
"Orbe, Dame",8595055
Villars-sur-Ollon La Rasse,8530046
"Büttikon AG, Brünishalden",8572630
"Stein AG, Coop",8572421
"Stans, Pilatuswerke",8572939
"Stans, Mettenweg",8572938
"Schenkon, Tannberg",8572967
"Prez-vers-Siviriez, village",8504697
"Orsonnens, village",8504866
"Frenières-sur-Bex, bif.",8504691
"Oberstocken, Wolfbuchen",8576839
"Oberstocken, Kreuzgasse",8576825
"Glovelier,Croix des Longs-Prés",8576787
"Frauenfeld, Grünmattweg",8583335
"Blumenstein, Lochmannsbühl",8576802
"Thun, Guisanplatz",8576817
"Amsoldingen, Kreuz",8576832
"Böbikon, Dorfplatz",8578784
"Steckborn, Schulhaus Hub",8573340
"Turbach, Höhe",8571304
"Montlingen, Bitziweg",8574176
"Lenzerheide/Lai, Gravas",8574659
"Speicherschwendi, Sonne",8574464
"Weisstannen, Holzbrücke",8574828
"Gerra (Gambarogno), Cimitero",8575559
"Villars-Mendraz, Petite Route",8583396
Melchtal Stöckalp (Cheselenf.),8531427
"Trun, Lumneins Dado",8505813
"Esmonts, bif.",8504977
"Samnaun-Laret, Abzweigung",8583639
"Oensingen, Rebhöfli",8583577
St-Gingolph (Suisse) (lac),8501078
"Hirzel, Neuhaus",8573560
"Brunnadern-Neckertal, Bahnhof",8574179
"Crans-Montana, Plans Mayens",8594700
"Wilen bei Wil, Langwiesen",8578821
Travers,8504215
"Chézard-St-Martin,Petit-Chézar",8504253
"Burgistein, Hohlenwegen",8571653
"Ennetbaden, Rütenen-Felmen",8557043
"Villard-sur-Chamby, La Cranche",8570574
"Düdingen, Schiffenen",8570536
"Rüti b. R'berg, Neuhaus",8571660
"Riggisberg, Otzenbach",8571703
"Wislisau, Wirtschaft",8571698
"Wattenwil, Postgasse",8571654
"Chur, Fontanaspital",8594416
"Wengi b. Frutigen, Schlundbach",8588707
Silvaplana Surlej (Corvatsch),8509380
Campascio,8509367
Tasna (B),8519611
"Ottoberg, Schulhaus",8506560
"Ueberstorf, Abzw. Steinhaus",8504599
Dornach (Wds),8519538
"Säriswil, Schulhaus",8571368
"Chur, Altes Gaswerk",8571710
"Biglen, Sonne",8571747
"Walkringen, Bahnhof",8575852
"Zürich, Schwert",8591353
"Prêles, collège",8571902
Saas im Prättigau,8509065
Vevey Vignerons,8502476
"Morges, La Prairie",8592266
"Lausanne, Bellerive",8591989
"Lausanne, Allières/CHUV",8591978
"Studen BE, Grien",8576428
Reckenberg (Abzw),8510513
"Lenk, Stein",8595146
"Worben, Post",8576431
"Ehrendingen, Breitwies",8580639
"Wiesendangen, Oberdorf",8580796
Thörishaus Station,8504104
Six-Fontaines,8504296
"Beatenberg, Bhendenchehr",8504110
"Wynigen, Bahnhof",8571772
"Lausanne, En Marin",8504171
"Mézières VD, station",8504166
"Paradiso, Via Calprino",8594226
"Heimenschwand, Rothachen",8576569
"Rickenbach LU, Bohler",8594183
"Adelboden, Zürcherhaus",8592318
"Melchnau, Fabrik",8576935
Laupen Ost (Ausw),8509308
"St-Ursanne, gare",8572034
"Bauma, Dorfmitti",8575993
"Denezy, Aux Clos",8570369
"Chur, Meiersboden",8594429
Granges-Marnand,8504122
"Buchs SG, Sekundarschule",8591461
Zürich Giesshübel,8503091
"Klöntal, Richisau",8503762
Alt St. Johann (Sellamattbahn),8530484
Zermatt GGB,8501690
"Bussigny, Condémine",8581916
"Gaflei, Klinik",8509609
"Savigny, centre",8504173
Laupenau,8504189
Lyss Fulenmatt,8516186
Schallbett,8505731
Alterswilen,8506554
"Lutry, Brélaz",8592146
"Schüpfheim, Landbrücke",8572871
"Grandfontaine, bif. Roche d'Or",8572064
"La Place (Ayent), Rougenan",8580671
"Gächlingen, Dorf",8503490
"Thun, Hohmad",8576863
"Blumenstein, Bad",8576789
"Thun, Pfaffenbühl",8576860
Oberterzen (Mittelstation),8509451
Unterems,8530181
"Wahlen b. Laufen, Weihern",8572114
"Coeuve, école",8572069
"Nürensdorf, Lindauerstrasse",8588469
"Granges VS, sud",8588513
"Olten, Trimbacherbrücke",8577982
"Staad (Grenchen), Reiherstr.",8577937
"Obergösgen, Schulhaus",8577989
"Büren an der Aare, Rütifeld",8577961
"Versoix, Ecogia",8593185
"Founex, est",8588666
"Bülach, Soligänter",8580624
"Bachenbülach, Bramenstrasse",8580620
"Arbaz, Pré-du-Loup",8580674
"Torgon, douane",8580653
"Brusio, I Prai",8583713
"Rümlang, Hörnlistrasse",8594236
"Münchenstein, Florastrasse",8578183
Chez-le-Baron,8572105
"Schwenden i.D., Grimmialp",8507756
"Märstetten, Gemeindehaus",8502744
"Wattwil, Brendi",8578553
"Lachen SZ, Kirche",8573829
"Schübelbach, Gramatt",8573839
"Heiden, Rosental",8574082
"Luzern, Dietschiberg",8577184
"Bernhardzell, Lee",8506734
"Tschappina, Börtli",8509982
"Provence, village",8570287
"Leysin, télécabine Berneuse",8570631
"Bex, Le Chêne",8570644
"Wildhaus, Bären",8574030
"Wangen SZ, Lochgasse",8574434
"Eschen, Sportpark",8574425
"Triesen, Poska",8574429
Schottikon,8506035
"St. Gallen, Platztor",8595351
"Grengiols, Abzw. Bahnhof",8595354
"Schinznach Bad, Steinbruch",8583662
"Payerne, aérodrome",8583428
"Orbe, Penchèvre",8595060
"Wetzikon ZH, Robenhausen",8595331
Monthey Centre agr Bas-V (embr,8501436
"Ebikon, Bahnhof",8577161
"Weggis, Zopf",8577212
"Rothenburg, Süesstannen",8577245
Eggberge,8530420
Route de Morgins,8530430
"Hettiswil b. H., Kreuz",8508951
"Kaltacker, Ramisberg",8508955
"Adligenswil, Widspüel",8573063
"Binningen, Dorenbach",8500071
Mattstetten (Abzw),8508042
"Küssnacht am Rigi, Chliarniweg",8591703
Diavolezzafirn (Talstation),8531104
"Murten, Schwimmbad",8583453
"Blonay, village",8579211
"Scheidbach, Bissen",8571300
"Risch, Dorf",8587572
"Chasseral, bif. Métairie de l'Isle",8583498
"Bauma, Widen",8573548
